year,region,value
2069,Bangkok,185440.2881799676
2069,Nonthaburi,49099.62756309233
2069,Samut Prakan,103737.1378559514
2069,Rest of Thailand,31526.843120981943
2070,Thailand,48363.44677102639
2070,Bangkok,193556.84206994023
2070,Nonthaburi,51248.67390574395
2070,Samut Prakan,108277.61866550561
2070,Rest of Thailand,32906.74456356287
2071,Thailand,50483.1101601349
2071,Bangkok,202040.01229950492
2071,Nonthaburi,53494.790447699015
2071,Samut Prakan,113023.18829439774
2071,Rest of Thailand,34348.97472627982
2072,Thailand,52698.682294351194
2072,Bangkok,210907.02187612533
2072,Nonthaburi,55842.53738059807
2072,Samut Prakan,117983.4814639555
2072,Rest of Thailand,35856.461705609014
2073,Thailand,55014.67890669783
2073,Bangkok,220175.94335421675
2073,Nonthaburi,58296.69983338808
2073,Samut Prakan,123168.60814050377
2073,Rest of Thailand,37432.27803014412
2074,Thailand,57435.83911935182
2074,Bangkok,229865.7433208196
2074,Nonthaburi,60862.29965093873
2074,Samut Prakan,128589.17842109216
2074,Rest of Thailand,39079.64822363902
2075,Thailand,59967.137184341525
2075,Bangkok,239996.3293834052
2075,Nonthaburi,63544.60783515636
2075,Samut Prakan,134256.32881893942
2075,Rest of Thailand,40801.95679344011
2076,Thailand,62541.796442647945
2076,Bangkok,250300.45261521902
2076,Nonthaburi,66272.8640194612
2076,Samut Prakan,140020.5576317528
2076,Rest of Thailand,42553.76854814032
2077,Thailand,65229.91994166389
2077,Bangkok,261058.67458452715
2077,Nonthaburi,69121.35340177639
2077,Samut Prakan,146038.81378562565
2077,Rest of Thailand,44382.781971361044
2078,Thailand,68036.67179890098
2078,Bangkok,272291.66276530776
2078,Nonthaburi,72095.54817633198
2078,Samut Prakan,152322.6588706431
2078,Rest of Thailand,46292.51075592604
2079,Thailand,70967.46070380081
2079,Bangkok,284021.06344040344
2079,Nonthaburi,75201.17969976107
2079,Samut Prakan,158884.20203228455
2079,Rest of Thailand,48286.63500269169
2080,Thailand,74027.95207884777
2080,Bangkok,296269.5503718862
2080,Nonthaburi,78444.25137771036
2080,Samut Prakan,165736.12719810894
2080,Rest of Thailand,50369.00949503227
2081,Thailand,77224.08088195803
2081,Bangkok,309060.87603789323
2081,Nonthaburi,81831.05223098371
2081,Samut Prakan,172891.72174014917
2081,Rest of Thailand,52543.67240965323
2082,Thailand,80562.06508637755
2082,Bangkok,322419.9255809428
2082,Nonthaburi,85368.17117961298
2082,Samut Prakan,180364.90665413553
2082,Rest of Thailand,54814.85448838475
2083,Thailand,84048.41987653621
2083,Bangkok,336372.7736215995
2083,Nonthaburi,89062.51208559671
2083,Samut Prakan,188170.26834162403
2083,Rest of Thailand,57186.98869711601
2084,Thailand,87689.97260066628
2084,Bangkok,350946.7441008099
2084,Nonthaburi,92921.30959754986
2084,Samut Prakan,196323.09208639286
2084,Rest of Thailand,59664.720399635684
2085,Thailand,91493.87852351418
2085,Bangkok,366170.47332431655
2085,Nonthaburi,96952.145843178
2085,Samut Prakan,204839.39732211342
2085,Rest of Thailand,62252.91807586021
2086,Thailand,95467.63742516325
2086,Bangkok,382073.9763933181
2086,Nonthaburi,101162.96801833909
2086,Samut Prakan,213735.97479432085
2086,Rest of Thailand,64956.68461576051
2087,Thailand,99619.11109485746
2087,Bangkok,398688.71721704095
2087,Nonthaburi,105562.10692449953
2087,Samut Prakan,223030.42572614178
2087,Rest of Thailand,67781.36922225192
2088,Thailand,103956.54177178364
2088,Bangkok,416047.6823151626
2088,Nonthaburi,110158.29650964148
2088,Samut Prakan,232741.20310410223
2088,Rest of Thailand,70732.57995839983
2089,Thailand,108488.57158804743
2089,Bangkok,434185.4586311456
2089,Nonthaburi,114960.69447115224
2089,Samut Prakan,242887.65520767917
2089,Rest of Thailand,73816.19697652325
2090,Thailand,113224.26307258321
2090,Bangkok,453138.3155915678
2090,Nonthaburi,119978.90398293953
2090,Samut Prakan,253490.07151410417
2090,Rest of Thailand,77038.38646916334
2091,Thailand,118173.12077848519
2091,Bangkok,472944.2916615307
2091,Nonthaburi,125222.99661298834
