year,region,value
2008,Bangkok,5614745.994585907
2008,Nonthaburi,1110738.29737034
2008,Samut Prakan,1190480.7797931393
2008,Rest of Thailand,55481498.01854305
2009,Thailand,63736748.04514621
2009,Bangkok,5644794.497292954
2009,Nonthaburi,1116682.64868517
2009,Samut Prakan,1196851.8898965698
2009,Rest of Thailand,55778419.00927152
2010,Thailand,64076033
2010,Bangkok,5674843
2010,Nonthaburi,1122627
2010,Samut Prakan,1203223
2010,Rest of Thailand,56075340
2011,Thailand,64076033
2011,Bangkok,5674843
2011,Nonthaburi,1122627
2011,Samut Prakan,1203223
2011,Rest of Thailand,56075340
2012,Thailand,64456695
2012,Bangkok,5673560
2012,Nonthaburi,1141673
2012,Samut Prakan,1223302
2012,Rest of Thailand,56418160
2013,Thailand,64785909
2013,Bangkok,5686252
2013,Nonthaburi,1156271
2013,Samut Prakan,1241610
2013,Rest of Thailand,56701776
2014,Thailand,65124716
2014,Bangkok,5692284
2014,Nonthaburi,1173870
2014,Samut Prakan,1261530
2014,Rest of Thailand,56997032
2015,Thailand,65729098
2015,Bangkok,5696409
2015,Nonthaburi,1193711
2015,Samut Prakan,1279310
2015,Rest of Thailand,57559668
2016,Thailand,65931550
2016,Bangkok,5686646
2016,Nonthaburi,1211924
2016,Samut Prakan,1293553
2016,Rest of Thailand,57739427
2017,Thailand,66188503
2017,Bangkok,5682415
2017,Nonthaburi,1229735
2017,Samut Prakan,1310766
2017,Rest of Thailand,57965587
2018,Thailand,66413979
2018,Bangkok,5676648
2018,Nonthaburi,1246295
2018,Samut Prakan,1326608
2018,Rest of Thailand,58164428
2019,Thailand,66558935
2019,Bangkok,5666264
2019,Nonthaburi,1265387
2019,Samut Prakan,1344875
2019,Rest of Thailand,58282409
2020,Thailand,66186727
2020,Bangkok,5588222
2020,Nonthaburi,1276745
2020,Samut Prakan,1351479
2020,Rest of Thailand,57970281
2021,Thailand,66238500.571550146
2021,Bangkok,5592593.302595989
2021,Nonthaburi,1277743.7145702005
2021,Samut Prakan,1352536.1741174785
2021,Rest of Thailand,58015627.38026648
2022,Thailand,66290274.143100284
2022,Bangkok,5596964.605191977
2022,Nonthaburi,1278742.429140401
2022,Samut Prakan,1353593.348234957
2022,Rest of Thailand,58060973.760532945
2023,Thailand,66342047.71465043
2023,Bangkok,5601335.907787966
2023,Nonthaburi,1279741.1437106018
2023,Samut Prakan,1354650.5223524356
2023,Rest of Thailand,58106320.14079943
2024,Thailand,66393821.286200576
2024,Bangkok,5605707.210383954
2024,Nonthaburi,1280739.8582808024
2024,Samut Prakan,1355707.6964699142
2024,Rest of Thailand,58151666.521065906
2025,Thailand,66445594.857750714
2025,Bangkok,5610078.512979943
2025,Nonthaburi,1281738.572851003
2025,Samut Prakan,1356764.8705873927
2025,Rest of Thailand,58197012.90133238
2026,Thailand,66497368.42930086
2026,Bangkok,5614449.815575931
2026,Nonthaburi,1282737.2874212035
2026,Samut Prakan,1357822.044704871
2026,Rest of Thailand,58242359.28159886
2027,Thailand,66549142.000851005
2027,Bangkok,5618821.11817192
2027,Nonthaburi,1283736.001991404
2027,Samut Prakan,1358879.2188223496
2027,Rest of Thailand,58287705.661865324
2028,Thailand,66600915.57240115
2028,Bangkok,5623192.420767909
2028,Nonthaburi,1284734.7165616048
2028,Samut Prakan,1359936.392939828
2028,Rest of Thailand,58333052.042131804
2029,Thailand,66652689.14395129
2029,Bangkok,5627563.723363897
2029,Nonthaburi,1285733.4311318053
2029,Samut Prakan,1360993.5670573066
2029,Rest of Thailand,58378398.422398284
2030,Thailand,66704462.715501435
2030,Bangkok,5631935.025959886
2030,Nonthaburi,1286732.1457020058
2030,Samut Prakan,1362050.7411747852
2030,Rest of Thailand,58423744.80266476
2031,Thailand,66495566.784869626
2031,Bangkok,5614297.70065043
2031,Nonthaburi,1282702.5336174786
2031,Samut Prakan,1357785.256594556
2031,Rest of Thailand,58240781.29400716
2032,Thailand,66286670.854237825
2032,Bangkok,5596660.375340974
2032,Nonthaburi,1278672.9215329513
2032,Samut Prakan,1353519.7720143266
2032,Rest of Thailand,58057817.78534957
2033,Thailand,66077774.92360602
2033,Bangkok,5579023.050031519
2033,Nonthaburi,1274643.309448424
2033,Samut Prakan,1349254.2874340974
2033,Rest of Thailand,57874854.27669199
2034,Thailand,65868878.992974214
2034,Bangkok,5561385.724722063
2034,Nonthaburi,1270613.697363897
2034,Samut Prakan,1344988.8028538683
2034,Rest of Thailand,57691890.76803438
2035,Thailand,65659983.062342405
2035,Bangkok,5543748.399412608
2035,Nonthaburi,1266584.0852793697
2035,Samut Prakan,1340723.318273639
2035,Rest of Thailand,57508927.25937679
2036,Thailand,65451087.131710604
2036,Bangkok,5526111.074103152
2036,Nonthaburi,1262554.4731948425
2036,Samut Prakan,1336457.8336934098
2036,Rest of Thailand,57325963.7507192
2037,Thailand,65242191.2010788
2037,Bangkok,5508473.748793696
2037,Nonthaburi,1258524.8611103152
2037,Samut Prakan,1332192.3491131805
2037,Rest of Thailand,57143000.24206161
2038,Thailand,65033295.27044699
2038,Bangkok,5490836.423484241
2038,Nonthaburi,1254495.249025788
2038,Samut Prakan,1327926.8645329513
2038,Rest of Thailand,56960036.73340401
2039,Thailand,64824399.339815184
2039,Bangkok,5473199.098174785
2039,Nonthaburi,1250465.6369412607
2039,Samut Prakan,1323661.379952722
2039,Rest of Thailand,56777073.22474641
2040,Thailand,64615503.40918338
2040,Bangkok,5455561.772865329
2040,Nonthaburi,1246436.0248567336
2040,Samut Prakan,1319395.8953724927
2040,Rest of Thailand,56594109.71608883
2041,Thailand,64406607.47855158
2041,Bangkok,5437924.447555874
2041,Nonthaburi,1242406.4127722064
2041,Samut Prakan,1315130.4107922637
2041,Rest of Thailand,56411146.20743124
2042,Thailand,64197711.54791977
2042,Bangkok,5420287.122246418
2042,Nonthaburi,1238376.800687679
2042,Samut Prakan,1310864.9262120344
2042,Rest of Thailand,56228182.69877364
2043,Thailand,63988815.61728796
2043,Bangkok,5402649.796936963
2043,Nonthaburi,1234347.1886031518
2043,Samut Prakan,1306599.4416318052
2043,Rest of Thailand,56045219.19011605
2044,Thailand,63779919.68665616
2044,Bangkok,5385012.471627507
2044,Nonthaburi,1230317.5765186246
2044,Samut Prakan,1302333.9570515759
2044,Rest of Thailand,55862255.68145846
2045,Thailand,63571023.75602436
2045,Bangkok,5367375.146318051
2045,Nonthaburi,1226287.9644340973
2045,Samut Prakan,1298068.4724713466
2045,Rest of Thailand,55679292.17280087
2046,Thailand,63362127.82539255
2046,Bangkok,5349737.821008596
2046,Nonthaburi,1222258.35234957
