# File: Subregions_Thailand_pcgdp.csv
# Title: Subregions and rest-of-Thailand pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Bangkok",2068,177.673935
"Rest of Thailand",2068,30.20647957
"Thailand",2069,46.33538867
"Bangkok",2069,185.4402882
"Rest of Thailand",2069,31.52684312
"Thailand",2070,48.36344677
"Bangkok",2070,193.5568421
"Rest of Thailand",2070,32.90674456
"Thailand",2071,50.48311016
"Bangkok",2071,202.0400123
"Rest of Thailand",2071,34.34897473
"Thailand",2072,52.69868229
"Bangkok",2072,210.9070219
"Rest of Thailand",2072,35.85646171
"Thailand",2073,55.01467891
"Bangkok",2073,220.1759434
"Rest of Thailand",2073,37.43227803
"Thailand",2074,57.43583912
"Bangkok",2074,229.8657433
"Rest of Thailand",2074,39.07964822
"Thailand",2075,59.96713718
"Bangkok",2075,239.9963294
"Rest of Thailand",2075,40.80195679
"Thailand",2076,62.54179644
"Bangkok",2076,250.3004526
"Rest of Thailand",2076,42.55376855
"Thailand",2077,65.22991994
"Bangkok",2077,261.0586746
"Rest of Thailand",2077,44.38278197
"Thailand",2078,68.0366718
"Bangkok",2078,272.2916628
"Rest of Thailand",2078,46.29251076
"Thailand",2079,70.9674607
"Bangkok",2079,284.0210634
"Rest of Thailand",2079,48.286635
"Thailand",2080,74.02795208
"Bangkok",2080,296.2695504
"Rest of Thailand",2080,50.3690095
"Thailand",2081,77.22408088
"Bangkok",2081,309.060876
"Rest of Thailand",2081,52.54367241
"Thailand",2082,80.56206509
"Bangkok",2082,322.4199256
"Rest of Thailand",2082,54.81485449
"Thailand",2083,84.04841988
"Bangkok",2083,336.3727736
"Rest of Thailand",2083,57.1869887
"Thailand",2084,87.6899726
"Bangkok",2084,350.9467441
"Rest of Thailand",2084,59.6647204
"Thailand",2085,91.49387852
"Bangkok",2085,366.1704733
"Rest of Thailand",2085,62.25291808
"Thailand",2086,95.46763743
"Bangkok",2086,382.0739764
"Rest of Thailand",2086,64.95668462
"Thailand",2087,99.61911109
"Bangkok",2087,398.6887172
"Rest of Thailand",2087,67.78136922
"Thailand",2088,103.9565418
"Bangkok",2088,416.0476823
"Rest of Thailand",2088,70.73257996
"Thailand",2089,108.4885716
"Bangkok",2089,434.1854586
"Rest of Thailand",2089,73.81619698
"Thailand",2090,113.2242631
"Bangkok",2090,453.1383156
"Rest of Thailand",2090,77.03838647
"Thailand",2091,118.1731208
"Bangkok",2091,472.9442917
"Rest of Thailand",2091,80.40561538
"Thailand",2092,123.3451141
"Bangkok",2092,493.6432857
"Rest of Thailand",2092,83.92466695
"Thailand",2093,128.7507014
"Bangkok",2093,515.2771531
"Rest of Thailand",2093,87.60265706
"Thailand",2094,134.4008552
"Bangkok",2094,537.889808
"Rest of Thailand",2094,91.44705156
"Thailand",2095,140.3070894
"Bangkok",2095,561.5273302
"Rest of Thailand",2095,95.46568451
"Thailand",2096,146.4814873
"Bangkok",2096,586.2380785
"Rest of Thailand",2096,99.66677745
"Thailand",2097,152.9367316
"Bangkok",2097,612.072811
"Rest of Thailand",2097,104.0589598
"Thailand",2098,159.6861362
"Bangkok",2098,639.084811
"Rest of Thailand",2098,108.6512903
"Thailand",2099,166.7436791
"Bangkok",2099,667.3300213
"Rest of Thailand",2099,113.4532798
"Thailand",2100,174.1240384
"Bangkok",2100,696.867185
"Rest of Thailand",2100,118.4749152
"Nonthaburi",1970,0.762116627
"Nonthaburi",1971,0.735202484
"Nonthaburi",1972,0.76161174
"Nonthaburi",1973,0.933680416
"Nonthaburi",1974,1.057028479
"Nonthaburi",1975,1.02600677
"Nonthaburi",1976,1.084481861
"Nonthaburi",1977,1.162401973
"Nonthaburi",1978,1.289295369
