# File: Subregions_Thailand_pop.csv
# Title: Subregions and rest-of-Thailand population (all years)
# Units: millions
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","population"
"SamutPrakan",2035,1.340723318
"SamutPrakan",2036,1.336457834
"SamutPrakan",2037,1.332192349
"SamutPrakan",2038,1.327926865
"SamutPrakan",2039,1.32366138
"SamutPrakan",2040,1.319395895
"SamutPrakan",2041,1.315130411
"SamutPrakan",2042,1.310864926
"SamutPrakan",2043,1.306599442
"SamutPrakan",2044,1.302333957
"SamutPrakan",2045,1.298068472
"SamutPrakan",2046,1.293802988
"SamutPrakan",2047,1.289537503
"SamutPrakan",2048,1.285272019
"SamutPrakan",2049,1.281006534
"SamutPrakan",2050,1.27674105
"SamutPrakan",2051,1.268415319
"SamutPrakan",2052,1.260089589
"SamutPrakan",2053,1.251763859
"SamutPrakan",2054,1.243438129
"SamutPrakan",2055,1.235112398
"SamutPrakan",2056,1.226786668
"SamutPrakan",2057,1.218460938
"SamutPrakan",2058,1.210135208
"SamutPrakan",2059,1.201809478
"SamutPrakan",2060,1.193483747
"SamutPrakan",2061,1.185158017
"SamutPrakan",2062,1.176832287
"SamutPrakan",2063,1.168506557
"SamutPrakan",2064,1.160180826
"SamutPrakan",2065,1.151855096
"SamutPrakan",2066,1.143529366
"SamutPrakan",2067,1.135203636
"SamutPrakan",2068,1.126877905
"SamutPrakan",2069,1.118552175
"SamutPrakan",2070,1.110226445
"SamutPrakan",2071,1.101900715
"SamutPrakan",2072,1.093574985
"SamutPrakan",2073,1.085249254
"SamutPrakan",2074,1.076923524
"SamutPrakan",2075,1.068597794
"SamutPrakan",2076,1.061492654
"SamutPrakan",2077,1.054387515
"SamutPrakan",2078,1.047282375
"SamutPrakan",2079,1.040177236
"SamutPrakan",2080,1.033072097
"SamutPrakan",2081,1.025966957
"SamutPrakan",2082,1.018861818
"SamutPrakan",2083,1.011756678
"SamutPrakan",2084,1.004651539
"SamutPrakan",2085,0.997546399
"SamutPrakan",2086,0.99044126
"SamutPrakan",2087,0.98333612
"SamutPrakan",2088,0.976230981
"SamutPrakan",2089,0.969125842
"SamutPrakan",2090,0.962020702
"SamutPrakan",2091,0.954915563
"SamutPrakan",2092,0.947810423
"SamutPrakan",2093,0.940705284
"SamutPrakan",2094,0.933600144
"SamutPrakan",2095,0.926495005
"SamutPrakan",2096,0.919389865
"SamutPrakan",2097,0.912284726
"SamutPrakan",2098,0.905179586
"SamutPrakan",2099,0.898074447
"SamutPrakan",2100,0.890969308
